Score,Pass,Organisation,Repo Name,Finos Lifecycle State (from the README badge),License (from GitHub Api),"Issue Activity (for most recent 50 issues, count most recent 30 comments in last 6 months)","Commit Activity (count of commits in last 6 months, maxed at 100)",OpenSSF Status (from the README badge),Github Archived (has the Archive tag in GitHub API),"Branch Rules/Private (number of approvers or 0 if no approvers, -1 no branch rules",SemGrep (checks .github/workflows/semgrep.yml file exists),CVE Scanning (checks .github/workflows/cve-scanning.yml file exists),Default Branch Name,Excess Admins,Main Issue Participants (list of all participants for issues loaded in Issue Activity column),Main Committers  (list of all participants for commits loaded in Commit Activity column),Length of Readme,Project Name,Type,Stage
1000,FAIL (OpenSSF Status) (No CVE Scan) (No Sem Grep),finos,legend-juju-studio-operator,INCUBATING,Apache-2.0,0,0,NONE,false,0,false,false,main,,,,2476,Legend,Project,Incubating
1000,FAIL (Finos Lifecycle) (wrong admins) (OpenSSF Status) (No CVE Scan) (No Sem Grep),finos,morphir-dotnet,NONE,Apache-2.0,0,0,NONE,false,0,false,false,main,@DamianReeves,,,7236,Morphir,Project,Active
1000,FAIL (OpenSSF Status) (No Sem Grep),finos,fdc3-dotnet,INCUBATING,Apache-2.0,3,51,NONE,false,1,false,true,main,,@bingenito @BalassaMarton,@bingenito @dependabot[bot] @ztanczos,5125,FDC3,Project,Active
1000,FAIL (OpenSSF Status) (No CVE Scan) (No Sem Grep),finos,legend-juju-db-operator,INCUBATING,Apache-2.0,0,0,NONE,false,0,false,false,main,,,,1808,Legend,Project,Incubating
1000,FAIL (Finos Lifecycle) (OpenSSF Status) (Branch Reviewers) (No CVE Scan),finos,terraform-aws-cfi-redshift,NONE,Apache-2.0,0,0,NONE,false,-1,true,false,main,,,,277,Compliant Financial Infrastructure,Project,Incubating
1000,FAIL (OpenSSF Status) (No CVE Scan) (No Sem Grep),finos,legend-sdlc,INCUBATING,Apache-2.0,0,100,NONE,false,1,false,false,master,,,@finos-admin @rafaelbey @MauricioUyaguari @kevin-m-knight-gs @Yasirmod17 @abhishoya-gs @YannanGao-gs @akphi @siaka-Akash @ivan-kyosev-gs @mrudula-gs @gs-rpant1729 @pierredebelen @jake-kim1 @gs-ssh16,4521,Legend,Project,Incubating
1000,FAIL (OpenSSF Status) (No CVE Scan) (No Sem Grep),finos,legend-engine,INCUBATING,Apache-2.0,2,100,NONE,false,1,false,false,master,,@finos-admin,@finos-admin @kevin-m-knight-gs @rafaelbey @Yasirmod17 @kumuwu @siaka-Akash @gs-ssh16 @jake-kim1 @aziemchawdhary-gs @tanujgirdhar @prasar-ashutosh @epsstan @abhishoya-gs @YannanGao-gs @akphi @pierredebelen @gs-kotang @MauricioUyaguari @PrateekGarg-gs @mrudula-gs @keenkeystrokes @gs-manvig @gs-gunjan @prabodhtr @rengam32 @yash0024 @gs-rpant1729 @robcossin,3332,Legend,Project,Incubating
1000,FAIL (OpenSSF Status) (No CVE Scan) (No Sem Grep),finos,legend-juju-bundle,INCUBATING,Apache-2.0,0,1,NONE,false,0,false,false,main,,,@claudiubelu,5515,Legend,Project,Incubating
1000,,finos,FDC3-Sail,INCUBATING,Apache-2.0,0,0,OK,false,0,true,true,main,,,,6315,FDC3 Sail,Project,Incubating
1000,FAIL (Finos Lifecycle) (OpenSSF Status) (Branch Reviewers) (No CVE Scan) (No Sem Grep),finos,terraform-aws-cfi-eks,NONE,Apache-2.0,0,0,NONE,false,-1,false,false,main,,,,13410,Compliant Financial Infrastructure,Project,Incubating
1000,FAIL (Finos Lifecycle) (wrong admins) (No CVE Scan) (No Sem Grep),finos,morphir,NONE,Apache-2.0,60,100,OK,false,1,false,false,main,@DamianReeves,@karlmoll @edwardpeters @DamianReeves @AttilaMihaly @michelchan @nwokafor-choongsaeng @stephengoldbaum @alexsieland @RichardWagener365 @sahilravinder @sidmocodes @edmondop @marron-at-work @frankchoongsaeng @kmudrick @bensanchin,@DamianReeves @stephengoldbaum @AttilaMihaly @bekand @dependabot[bot] @bensanchin @maoo @kmudrick @nwokafor-choongsaeng @sahilravinder @michelchan @alexsieland @ronaldssebalamu,8280,Morphir,Project,Active
1000,FAIL (OpenSSF Status) (No CVE Scan) (No Sem Grep),finos,ansible-cfi-ocp,INCUBATING,Apache-2.0,0,0,NONE,false,1,false,false,main,,,,2391,Compliant Financial Infrastructure,Project,Incubating
1000,FAIL (Finos Lifecycle) (OpenSSF Status) (Branch Reviewers) (No CVE Scan),finos,terraform-aws-cfi-dynamodb,NONE,Apache-2.0,0,0,NONE,false,-1,true,false,main,,,,267,Compliant Financial Infrastructure,Project,Incubating
1000,FAIL (Finos Lifecycle) (wrong admins) (OpenSSF Status) (No Sem Grep),finos,legend-engine-ide-client-vscode,NONE,Apache-2.0,1,62,NONE,false,1,false,true,main,@rafaelbey,@rafaelbey,@rafaelbey @gayathrir11 @finos-admin @sameersaini @siaka-Akash @jake-kim1,1786,,Project,Active
1000,FAIL (Finos Lifecycle),finos,FDC3,NONE,NOASSERTION,172,100,OK,false,1,true,true,main,,@kriswest @robmoffat @openfin-johans @hughtroeger @mistryvinay @Roaders @Lecss @novavi @julianna-ciq @maoo @bingenito @pvoznyuk @Vivek-NatWest @paulgoldsmith @john-ciq @Yannick-Malins @mthomcfa @kziemski @fapulito @cwatson88 @nkolba @rikoe @hellosmithy @iansloyan @timjenkel @headsphere @Perelmuter @salmenus @jasonmdorsey @mcleo-d @milindchidrawar @gilesstevenson @yeahjim1 @lspiro-Tick42 @chordmemory @kemerava @TheJuanAndOnly99,@kriswest @robmoffat @dependabot[bot] @bingenito @kemerava @julianna-ciq,13652,FDC3,Project,Active
1000,FAIL (OpenSSF Status) (No CVE Scan) (No Sem Grep),finos,legend-studio,INCUBATING,Apache-2.0,0,100,NONE,false,1,false,false,master,,,@github-actions[bot] @YannanGao-gs @MauricioUyaguari @akphi @travisstebbins @dependabot[bot] @sameersaini @gayathrir11 @pragyasri-gs,4294,Legend,Project,Incubating
1000,FAIL (OpenSSF Status) (Branch Reviewers) (No CVE Scan),finos,terraform-aws-cfi-sqs,INCUBATING,Apache-2.0,0,0,NONE,false,-1,true,false,main,,,,2738,Compliant Financial Infrastructure,Project,Incubating
1000,FAIL (OpenSSF Status) (No CVE Scan) (No Sem Grep),finos,legend-depot,INCUBATING,Apache-2.0,0,74,NONE,false,1,false,false,master,,,@finos-admin @elopezcastro @Yasirmod17 @kevin-m-knight-gs @gs-gunjan @rafaelbey @abhishoya-gs @siaka-Akash @gs-ssh16 @YannanGao-gs @MauricioUyaguari,4236,Legend,Project,Incubating
1000,FAIL (OpenSSF Status) (No CVE Scan) (No Sem Grep),finos,morphir-scala,INCUBATING,Apache-2.0,2,80,NONE,false,0,false,false,main,,@DamianReeves @joanna-lee-0,@scala-steward @dependabot[bot] @edwardpeters @DamianReeves @michelchan @sahilravinder @justin-corn @bensanchin @alexsieland @Bouzomgi @Paul-Folbrecht,7982,Morphir,Project,Active
1000,FAIL (OpenSSF Status) (No CVE Scan),finos,cfi-terraform-template-child-module,INCUBATING,Apache-2.0,0,0,NONE,false,1,true,false,main,,,,3498,Compliant Financial Infrastructure,Project,Incubating
