title,createdAt,updatedAt,number,state,author,labels,owner,repository
"欢迎大家提建议啊~~~",Wed Jun 06 13:18:05 BST 2018,Fri Oct 19 16:14:11 BST 2018,1,CLOSED,Snailclimb,,Snailclimb,JavaGuide
"为什么我 fork 会少了一些文件呢？",Sat Jul 07 14:45:00 BST 2018,Fri Oct 19 16:14:05 BST 2018,2,CLOSED,guanguans,"question ",Snailclimb,JavaGuide
"大家如果有想法可以帮忙完善哦！",Sat Aug 04 07:22:10 BST 2018,Wed Oct 31 09:27:21 GMT 2018,4,CLOSED,Snailclimb,,Snailclimb,JavaGuide
"有个问题请教",Mon Aug 13 12:00:04 BST 2018,Fri Oct 19 16:13:57 BST 2018,7,CLOSED,winyiwin,"question ",Snailclimb,JavaGuide
"错别字",Wed Aug 15 03:01:06 BST 2018,Wed Aug 15 03:42:17 BST 2018,8,CLOSED,Ivan4412,,Snailclimb,JavaGuide
"项目的排版希望能规范化",Wed Aug 15 03:47:00 BST 2018,Thu Sep 13 01:19:34 BST 2018,9,CLOSED,maskleo,"enhancement ",Snailclimb,JavaGuide
"关于值传递与引用传递",Tue Aug 28 01:47:59 BST 2018,Sun Mar 03 02:02:00 GMT 2019,12,CLOSED,Hogantry,"enhancement ",Snailclimb,JavaGuide
"有几处觉得不太妥当的地方~",Tue Aug 28 08:01:39 BST 2018,Fri Sep 14 01:48:38 BST 2018,13,CLOSED,changfubai,"good first issue ",Snailclimb,JavaGuide
"错别字",Tue Aug 28 15:02:47 BST 2018,Wed Aug 29 11:26:07 BST 2018,14,CLOSED,echozoo,,Snailclimb,JavaGuide
"你好！这里排版出现了大量重复内容。",Wed Aug 29 14:34:46 BST 2018,Thu Aug 30 02:16:14 BST 2018,16,CLOSED,comeCU,,Snailclimb,JavaGuide
"发现一个问题",Mon Sep 10 07:50:15 BST 2018,Sat Sep 15 01:35:55 BST 2018,19,CLOSED,pojozhang,,Snailclimb,JavaGuide
Object的hashcode的问题,Wed Sep 12 16:30:56 BST 2018,Thu Sep 13 01:19:21 BST 2018,21,CLOSED,j4fan,,Snailclimb,JavaGuide
"谢谢博主的仓库，很丰富",Sun Sep 16 14:15:44 BST 2018,Mon Sep 17 12:45:03 BST 2018,22,CLOSED,jamesmarva,,Snailclimb,JavaGuide
"项目介绍存在语法问题",Mon Sep 17 09:50:52 BST 2018,Wed Oct 10 09:26:25 BST 2018,25,CLOSED,zzzvvvxxxd,,Snailclimb,JavaGuide
