title,createdAt,updatedAt,number,state,author,labels,owner,repository
"建表功能已经强大了，不过希望添加上自定义mysql engine和charset",Thu Jul 04 08:08:39 BST 2013,Thu Aug 08 05:26:00 BST 2013,1,CLOSED,zakzou,,go-xorm,xorm
Custom types can not be used in mapped structs,Wed Aug 14 21:38:38 BST 2013,Fri Sep 06 01:18:00 BST 2013,4,CLOSED,dennwc,"kind/bug ",go-xorm,xorm
Unsigned int cannot be a struct field,Wed Aug 14 22:26:52 BST 2013,Thu Aug 15 05:47:46 BST 2013,5,CLOSED,dennwc,,go-xorm,xorm
"建议增加 每个映射表struct 里面的 Created 跟 Updated 字段 在插入 修改的时候 自动写入到数据库中 ",Fri Aug 16 18:13:09 BST 2013,Mon Sep 02 14:50:53 BST 2013,6,CLOSED,mrcuix,"enhancement ",go-xorm,xorm
"BUG,自动建表后字段顺序完全凌乱了",Thu Aug 29 16:29:35 BST 2013,Sun Sep 01 03:03:19 BST 2013,7,CLOSED,insionng,,go-xorm,xorm
sqlite3 index problem,Fri Sep 06 03:02:49 BST 2013,Fri Sep 06 06:44:21 BST 2013,8,CLOSED,luopeizhen,,go-xorm,xorm
sqlite3 index recreate error,Fri Sep 06 03:15:52 BST 2013,Fri Sep 06 06:49:01 BST 2013,9,CLOSED,luopeizhen,,go-xorm,xorm
" Engine.Update方法有BUG!",Sun Sep 08 18:03:51 BST 2013,Sun Sep 08 23:56:30 BST 2013,10,CLOSED,insionng,,go-xorm,xorm
how to change database?,Tue Sep 10 20:45:26 BST 2013,Wed Sep 11 05:55:12 BST 2013,11,CLOSED,,,go-xorm,xorm
Engine.Delete方法bug,Sat Sep 28 00:39:57 BST 2013,Thu Nov 21 02:31:43 GMT 2013,12,CLOSED,insionng,"kind/bug ",go-xorm,xorm
"连接数限制问题..",Sat Sep 28 00:42:54 BST 2013,Tue Oct 29 14:08:04 GMT 2013,13,CLOSED,insionng,"enhancement ",go-xorm,xorm
Add comments for godoc,Sun Sep 29 14:27:24 BST 2013,Fri Nov 22 06:33:43 GMT 2013,14,CLOSED,,,go-xorm,xorm
"文档链接更新",Mon Sep 30 00:03:17 BST 2013,Mon Sep 30 00:51:06 BST 2013,15,CLOSED,cxjava,,go-xorm,xorm
"建议增加函数式定义表特殊连击神技..",Mon Sep 30 06:38:13 BST 2013,Wed Sep 21 07:25:17 BST 2016,16,CLOSED,insionng,"wontfix ",go-xorm,xorm
"增加自动读写分离",Mon Sep 30 06:45:13 BST 2013,Thu Sep 28 03:33:40 BST 2017,17,CLOSED,insionng,"duplicate ",go-xorm,xorm
"增加XORM命令行自动化工具",Mon Sep 30 07:16:03 BST 2013,Mon Oct 14 10:01:24 BST 2013,18,CLOSED,insionng,"enhancement ",go-xorm,xorm
"建议缓存系统增加过期时间设定",Mon Sep 30 22:05:44 BST 2013,Sun Nov 17 06:41:53 GMT 2013,19,CLOSED,insionng,"enhancement ",go-xorm,xorm
"建议增加一个全局时间切换的开关,UTC时间 local时间",Sat Oct 05 23:18:38 BST 2013,Tue Apr 15 15:50:08 BST 2014,20,CLOSED,insionng,"enhancement ",go-xorm,xorm
"建议增加对版本version的支持",Thu Oct 10 10:00:33 BST 2013,Tue Apr 29 07:49:50 BST 2014,22,CLOSED,wukehong,"enhancement ",go-xorm,xorm
"建议增加类似qbs的Iterate方法",Sun Oct 13 14:41:29 BST 2013,Thu Oct 17 05:40:28 BST 2013,23,CLOSED,insionng,"enhancement ",go-xorm,xorm
iOS 4 already supported,Wed Jan 04 19:46:19 GMT 2012,Sat Jan 07 01:50:45 GMT 2012,1,CLOSED,dlackty,,ViewDeck,ViewDeck
Support for iOS 5  view containment API,Wed Jan 04 20:48:01 GMT 2012,Sun Jan 15 19:45:15 GMT 2012,2,CLOSED,myell0w,,ViewDeck,ViewDeck
Slide out center view completely,Wed Jan 04 20:49:44 GMT 2012,Mon Aug 12 00:27:13 BST 2013,3,CLOSED,myell0w,,ViewDeck,ViewDeck
Tiny gap on top,Fri Jan 06 00:40:08 GMT 2012,Sat Jan 07 01:49:17 GMT 2012,4,CLOSED,rayfranco,,ViewDeck,ViewDeck
custom panningMode,Fri Jan 06 20:30:49 GMT 2012,Sun Jan 08 00:03:28 GMT 2012,5,CLOSED,nirgolan,,ViewDeck,ViewDeck
Protocol methods should be marked as @optional,Wed Jan 11 16:32:31 GMT 2012,Wed Jan 11 20:29:58 GMT 2012,8,CLOSED,JaviSoto,,ViewDeck,ViewDeck
Leaking the view,Wed Jan 11 17:18:35 GMT 2012,Thu Jan 12 10:02:18 GMT 2012,9,CLOSED,JaviSoto,,ViewDeck,ViewDeck
Tapping the status bar to scroll a table view in the center view to the top doesn't work,Thu Jan 12 09:48:35 GMT 2012,Tue Jul 17 15:34:30 BST 2012,10,CLOSED,JaviSoto,,ViewDeck,ViewDeck
Center view gets a tap when not dragged completely,Thu Jan 12 09:54:48 GMT 2012,Mon Mar 18 04:57:41 GMT 2013,11,CLOSED,JaviSoto,,ViewDeck,ViewDeck
CenterView Does Not Respond To Rotation Events,Fri Jan 13 15:17:49 GMT 2012,Fri Jan 13 16:19:06 GMT 2012,12,CLOSED,xrolfex,,ViewDeck,ViewDeck
Frame of the center view is wrong if you open the camera modally and close it,Sat Jan 14 12:24:56 GMT 2012,Sun Jan 15 15:42:55 GMT 2012,13,CLOSED,JaviSoto,,ViewDeck,ViewDeck
ViewDeck content is not updating during animation,Sat Jan 14 18:27:47 GMT 2012,Sun Jan 15 00:03:24 GMT 2012,14,CLOSED,malcommac,,ViewDeck,ViewDeck
"viewDeckController property returns ""nil""",Mon Jan 16 04:52:43 GMT 2012,Mon Jan 16 13:26:12 GMT 2012,15,CLOSED,toshizumi,,ViewDeck,ViewDeck
View hierarchy shifted when rotating while in fullscreen mode,Thu Jan 19 22:54:05 GMT 2012,Thu Feb 02 22:19:23 GMT 2012,16,CLOSED,gzphreak,,ViewDeck,ViewDeck
Storyboard feature tutorial,Fri Jan 20 20:42:44 GMT 2012,Sun Jan 22 00:40:28 GMT 2012,17,CLOSED,jostster,,ViewDeck,ViewDeck
The view is being reloaded on viewDidUnload,Sat Jan 21 17:22:43 GMT 2012,Thu Feb 02 22:18:26 GMT 2012,18,CLOSED,JaviSoto,,ViewDeck,ViewDeck
UITextView repainting issue when reopening a view,Sat Jan 21 23:10:09 GMT 2012,Thu Jan 10 17:41:34 GMT 2013,19,CLOSED,mtedesco,,ViewDeck,ViewDeck
Status bar taps do not work,Tue Jan 24 09:41:00 GMT 2012,Tue Jan 24 10:11:19 GMT 2012,20,CLOSED,eimantas,,ViewDeck,ViewDeck
SIGABRT when selection a cell in LeftViewController,Thu Jan 26 09:19:44 GMT 2012,Thu Jan 26 09:36:48 GMT 2012,21,CLOSED,oobenland,,ViewDeck,ViewDeck
Navigationbar panning not working,Mon Jan 30 15:54:46 GMT 2012,Mon Jan 30 23:32:10 GMT 2012,22,CLOSED,jalmaas,,ViewDeck,ViewDeck
Doesn't show icons in Chrome on Windows,Mon Nov 26 14:51:30 GMT 2012,Fri Aug 12 13:55:48 BST 2016,1,CLOSED,Pomax,,FontCustom,fontcustom
installation on ubuntu fails without dev package,Tue Nov 27 08:06:25 GMT 2012,Wed Jul 16 16:36:21 BST 2014,3,CLOSED,davidsneighbour,,FontCustom,fontcustom
Unable to convert on gem install,Tue Nov 27 15:56:33 GMT 2012,Wed Jan 13 08:23:05 GMT 2016,5,CLOSED,marclipovsky,,FontCustom,fontcustom
Be able to name the font in the cli,Tue Nov 27 17:19:31 GMT 2012,Mon Dec 03 08:56:05 GMT 2012,6,CLOSED,rjyo,"enhancement ",FontCustom,fontcustom
the size of .eot file is 0,Wed Nov 28 04:10:30 GMT 2012,Tue Dec 11 22:45:28 GMT 2012,7,CLOSED,leecade,,FontCustom,fontcustom
parse': 757: unexpected token at 'ImportError: No module named argparse',Wed Nov 28 11:25:14 GMT 2012,Sun Dec 09 14:38:14 GMT 2012,8,CLOSED,rberenguel,"bug ",FontCustom,fontcustom
ie7 support,Wed Nov 28 20:26:44 GMT 2012,Wed Nov 28 20:41:08 GMT 2012,9,CLOSED,jayseeg,,FontCustom,fontcustom
" 756: unexpected token at 'sh: fontforge: command not found' (JSON::ParserError)",Thu Nov 29 01:43:50 GMT 2012,Thu Dec 13 20:16:41 GMT 2012,10,CLOSED,amdrew,,FontCustom,fontcustom
plz add a way to edit css template,Thu Nov 29 10:02:26 GMT 2012,Thu Nov 29 16:17:40 GMT 2012,12,CLOSED,leecade,,FontCustom,fontcustom
Sprockets integration breaks because of digest,Thu Nov 29 15:11:16 GMT 2012,Mon Dec 03 03:05:59 GMT 2012,13,CLOSED,unity,"enhancement ",FontCustom,fontcustom
Can't get it to work,Thu Nov 29 21:20:11 GMT 2012,Sat Feb 02 21:52:25 GMT 2013,14,CLOSED,eheiser,"bug ",FontCustom,fontcustom
Feature request: custom UPM size and descender amount via the CLI,Thu Nov 29 23:08:05 GMT 2012,Sun Aug 04 04:53:52 BST 2013,15,CLOSED,philipwalton,"enhancement ",FontCustom,fontcustom
"Undefined variable: import' ",Fri Nov 30 13:41:42 GMT 2012,Thu Sep 04 15:16:19 BST 2014,16,CLOSED,g12n,,FontCustom,fontcustom
error when trying to compile entypo font,Sat Dec 01 17:21:42 GMT 2012,Wed Dec 12 19:40:40 GMT 2012,18,CLOSED,eikaramba,,FontCustom,fontcustom
can't compile,Sat Dec 01 23:37:33 GMT 2012,Thu Dec 06 21:01:14 GMT 2012,19,CLOSED,epegzz,,FontCustom,fontcustom
Possibility to choose your character map per icon,Sun Dec 02 09:57:27 GMT 2012,Sun Jun 07 15:41:36 BST 2015,20,CLOSED,yvesvanbroekhoven,,FontCustom,fontcustom
compile issue.,Mon Dec 03 07:46:46 GMT 2012,Wed Dec 12 01:57:27 GMT 2012,22,CLOSED,,,FontCustom,fontcustom
Included versions of sfntwoff and ttf2eot don't work in Ubuntu 11.10,Mon Dec 03 15:11:32 GMT 2012,Fri Dec 07 08:16:19 GMT 2012,23,CLOSED,bchoquet-heliopsis,"bug ",FontCustom,fontcustom
No compile,Tue Dec 04 04:23:45 GMT 2012,Tue Dec 04 12:06:16 GMT 2012,24,CLOSED,tombryan,,FontCustom,fontcustom
grid in compiled font,Tue Dec 04 09:43:16 GMT 2012,Tue Dec 04 14:17:38 GMT 2012,25,CLOSED,burn4ever,,FontCustom,fontcustom
Clarify the license,Fri Oct 12 03:09:24 BST 2012,Fri Oct 12 04:15:04 BST 2012,3,CLOSED,krasin,,apigy,selfstarter
Alternate Payment Processors: Bitcoin and Litecoin support,Thu Oct 18 08:03:41 BST 2012,Thu Oct 25 07:44:35 BST 2012,8,CLOSED,EskimoBob,,apigy,selfstarter
Quantity option,Thu Oct 25 05:01:43 BST 2012,Sat Nov 03 02:01:40 GMT 2012,9,CLOSED,yulau,,apigy,selfstarter
