Stargazers,Owner,Repo Name,Created At,Last Updated At,Primary Language,Forks,Issue Count,URL
139323,Snailclimb,JavaGuide,Mon May 07 13:27:00 BST 2018,Thu Dec 14 13:26:36 GMT 2023,Java,45167,892,https://github.com/Snailclimb/JavaGuide
113270,facebook,react-native,Fri Jan 09 18:10:16 GMT 2015,Thu Dec 14 12:36:25 GMT 2023,Java,24058,24243,https://github.com/facebook/react-native
84881,iluwatar,java-design-patterns,Sat Aug 09 16:45:18 BST 2014,Thu Dec 14 13:16:15 GMT 2023,Java,25838,694,https://github.com/iluwatar/java-design-patterns
74409,MisterBooo,LeetCodeAnimation,Thu Dec 06 08:01:22 GMT 2018,Thu Dec 14 12:34:40 GMT 2023,Java,14031,42,https://github.com/MisterBooo/LeetCodeAnimation
72576,doocs,advanced-java,Sat Oct 06 11:38:30 BST 2018,Thu Dec 14 13:49:35 GMT 2023,Java,18752,141,https://github.com/doocs/advanced-java
72373,macrozheng,mall,Wed Apr 04 01:11:44 BST 2018,Thu Dec 14 11:48:57 GMT 2023,Java,27934,453,https://github.com/macrozheng/mall
72022,GrowingGit,GitHub-Chinese-Top-Charts,Thu Sep 05 03:01:56 BST 2019,Thu Dec 14 14:08:25 GMT 2023,Java,10298,154,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts
70850,spring-projects,spring-boot,Fri Oct 19 15:02:57 BST 2012,Thu Dec 14 13:54:37 GMT 2023,Java,39998,31778,https://github.com/spring-projects/spring-boot
66080,elastic,elasticsearch,Mon Feb 08 13:20:56 GMT 2010,Thu Dec 14 14:05:23 GMT 2023,Java,23906,29756,https://github.com/elastic/elasticsearch
60705,kdn251,interviews,Tue Feb 14 18:19:25 GMT 2017,Thu Dec 14 13:55:41 GMT 2023,Java,12676,22,https://github.com/kdn251/interviews
55247,krahets,hello-algo,Fri Nov 04 11:08:34 GMT 2022,Thu Dec 14 14:14:09 GMT 2023,Java,6721,99,https://github.com/krahets/hello-algo
55051,TheAlgorithms,Java,Sat Jul 16 10:21:02 BST 2016,Thu Dec 14 13:59:12 GMT 2023,Java,18867,910,https://github.com/TheAlgorithms/Java
53869,spring-projects,spring-framework,Wed Dec 08 04:04:45 GMT 2010,Thu Dec 14 14:11:57 GMT 2023,Java,37243,23974,https://github.com/spring-projects/spring-framework
48783,google,guava,Thu May 29 16:23:17 BST 2014,Thu Dec 14 13:13:20 GMT 2023,Java,10919,2887,https://github.com/google/guava
47346,ReactiveX,RxJava,Tue Jan 08 20:11:48 GMT 2013,Thu Dec 14 09:29:39 GMT 2023,Java,7768,3125,https://github.com/ReactiveX/RxJava
44568,NationalSecurityAgency,ghidra,Fri Mar 01 03:27:48 GMT 2019,Thu Dec 14 13:50:34 GMT 2023,Java,5365,2989,https://github.com/NationalSecurityAgency/ghidra
42242,square,retrofit,Mon Sep 06 21:39:43 BST 2010,Thu Dec 14 13:54:11 GMT 2023,Java,7372,2508,https://github.com/square/retrofit
39612,apache,dubbo,Tue Jun 19 07:56:02 BST 2012,Thu Dec 14 11:44:56 GMT 2023,Java,26352,5617,https://github.com/apache/dubbo
37413,skylot,jadx,Mon Mar 18 17:08:21 GMT 2013,Thu Dec 14 13:48:04 GMT 2023,Java,4630,1195,https://github.com/skylot/jadx
37008,PhilJay,MPAndroidChart,Fri Apr 25 14:29:47 BST 2014,Thu Dec 14 05:14:09 GMT 2023,Java,9064,2881,https://github.com/PhilJay/MPAndroidChart
36576,jeecgboot,jeecg-boot,Mon Nov 26 10:40:00 GMT 2018,Thu Dec 14 09:15:46 GMT 2023,Java,14140,4822,https://github.com/jeecgboot/jeecg-boot
35268,eugenp,tutorials,Mon Apr 29 18:26:36 BST 2013,Thu Dec 14 13:54:36 GMT 2023,Java,54164,704,https://github.com/eugenp/tutorials
35263,dbeaver,dbeaver,Wed Oct 21 08:26:28 BST 2015,Thu Dec 14 14:10:16 GMT 2023,Java,3163,13868,https://github.com/dbeaver/dbeaver
34394,airbnb,lottie-android,Thu Oct 06 22:42:42 BST 2016,Thu Dec 14 13:30:43 GMT 2023,Java,5413,1631,https://github.com/airbnb/lottie-android
34079,bumptech,glide,Mon Jul 08 22:52:33 BST 2013,Thu Dec 14 08:24:12 GMT 2023,Java,6127,3888,https://github.com/bumptech/glide
33999,geekxh,hello-algorithm,Fri May 29 05:47:09 BST 2020,Thu Dec 14 13:01:11 GMT 2023,Java,6443,32,https://github.com/geekxh/hello-algorithm
33928,alibaba,arthas,Wed Aug 29 17:15:57 BST 2018,Thu Dec 14 10:20:49 GMT 2023,Java,7312,1633,https://github.com/alibaba/arthas
32672,Blankj,AndroidUtilCode,Sat Jul 30 18:18:32 BST 2016,Thu Dec 14 10:54:28 GMT 2023,Java,10673,1275,https://github.com/Blankj/AndroidUtilCode
32184,netty,netty,Tue Nov 09 09:22:21 GMT 2010,Thu Dec 14 13:02:22 GMT 2023,Java,15690,5703,https://github.com/netty/netty
31775,zxing,zxing,Wed Oct 12 14:07:27 BST 2011,Thu Dec 14 03:32:35 GMT 2023,Java,9442,1227,https://github.com/zxing/zxing
31123,xkcoding,spring-boot-demo,Fri Nov 10 06:27:29 GMT 2017,Thu Dec 14 09:44:16 GMT 2023,Java,10608,71,https://github.com/xkcoding/spring-boot-demo
29978,alibaba,easyexcel,Tue Feb 06 03:14:08 GMT 2018,Thu Dec 14 12:24:59 GMT 2023,Java,7342,2797,https://github.com/alibaba/easyexcel
29697,halo-dev,halo,Wed Mar 21 12:56:52 GMT 2018,Thu Dec 14 14:07:00 GMT 2023,Java,9101,2706,https://github.com/halo-dev/halo
29592,ityouknow,spring-boot-examples,Sat Nov 05 05:32:33 GMT 2016,Thu Dec 14 08:49:33 GMT 2023,Java,12382,99,https://github.com/ityouknow/spring-boot-examples
28511,apolloconfig,apollo,Fri Mar 04 10:24:23 GMT 2016,Thu Dec 14 10:16:38 GMT 2023,Java,10211,2996,https://github.com/apolloconfig/apollo
28395,SeleniumHQ,selenium,Mon Jan 14 21:40:56 GMT 2013,Thu Dec 14 13:19:34 GMT 2023,Java,7946,9545,https://github.com/SeleniumHQ/selenium
28119,alibaba,nacos,Fri Jun 15 06:49:27 BST 2018,Thu Dec 14 12:25:58 GMT 2023,Java,12376,7532,https://github.com/alibaba/nacos
27610,dromara,hutool,Sun Apr 13 07:23:51 BST 2014,Thu Dec 14 11:51:54 GMT 2023,Java,7372,2539,https://github.com/dromara/hutool
27420,alibaba,druid,Thu Nov 03 05:12:51 GMT 2011,Thu Dec 14 07:21:29 GMT 2023,Java,8554,1938,https://github.com/alibaba/druid
27102,alibaba,canal,Sun Jan 13 10:59:52 GMT 2013,Thu Dec 14 12:53:15 GMT 2023,Java,7483,3355,https://github.com/alibaba/canal
27029,crossoverJie,JCSprout,Sun Dec 17 09:06:50 GMT 2017,Wed Dec 13 03:12:52 GMT 2023,Java,7196,59,https://github.com/crossoverJie/JCSprout
27019,termux,termux-app,Fri Oct 23 09:42:46 BST 2015,Thu Dec 14 13:58:13 GMT 2023,Java,3048,2144,https://github.com/termux/termux-app
26773,alibaba,spring-cloud-alibaba,Fri Dec 01 20:49:15 GMT 2017,Thu Dec 14 10:22:56 GMT 2023,Java,8147,1854,https://github.com/alibaba/spring-cloud-alibaba
26617,TeamNewPipe,NewPipe,Thu Sep 03 23:39:26 BST 2015,Thu Dec 14 13:17:57 GMT 2023,Java,2876,7155,https://github.com/TeamNewPipe/NewPipe
26580,lenve,vhr,Thu Jan 04 08:57:51 GMT 2018,Thu Dec 14 11:56:09 GMT 2023,Java,10320,95,https://github.com/lenve/vhr
26458,wuyouzhuguli,SpringAll,Wed May 02 02:48:44 BST 2018,Thu Dec 14 08:03:04 GMT 2023,Java,7836,27,https://github.com/wuyouzhuguli/SpringAll
26406,apache,kafka,Mon Aug 15 18:06:16 BST 2011,Thu Dec 14 14:05:36 GMT 2023,Java,13282,0,https://github.com/apache/kafka
26375,doocs,leetcode,Sun Sep 16 14:03:03 BST 2018,Thu Dec 14 12:36:23 GMT 2023,Java,4575,35,https://github.com/doocs/leetcode
25932,qiurunze123,miaosha,Fri Sep 14 04:36:24 BST 2018,Thu Dec 14 11:20:30 GMT 2023,Java,6663,78,https://github.com/qiurunze123/miaosha
25711,xuxueli,xxl-job,Sat Nov 28 12:59:34 GMT 2015,Thu Dec 14 13:53:09 GMT 2023,Java,10503,1758,https://github.com/xuxueli/xxl-job
25589,JakeWharton,butterknife,Tue Mar 05 08:18:59 GMT 2013,Thu Dec 14 10:41:06 GMT 2023,Java,4672,1087,https://github.com/JakeWharton/butterknife
25515,alibaba,fastjson,Thu Nov 03 06:58:52 GMT 2011,Thu Dec 14 12:49:03 GMT 2023,Java,6605,1680,https://github.com/alibaba/fastjson
24996,hollischuang,toBeTopJavaer,Thu Oct 25 09:54:54 BST 2018,Thu Dec 14 13:26:41 GMT 2023,Java,5497,71,https://github.com/hollischuang/toBeTopJavaer
24963,proxyee-down-org,proxyee-down,Wed Oct 25 10:07:27 BST 2017,Thu Dec 14 08:37:25 GMT 2023,Java,4509,0,https://github.com/proxyee-down-org/proxyee-down
24589,seata,seata,Fri Dec 28 08:37:22 GMT 2018,Thu Dec 14 09:55:57 GMT 2023,Java,8671,2786,https://github.com/seata/seata
24498,scwang90,SmartRefreshLayout,Fri Jun 02 09:52:50 BST 2017,Thu Dec 14 10:02:19 GMT 2023,Java,4980,1207,https://github.com/scwang90/SmartRefreshLayout
24490,greenrobot,EventBus,Mon Jul 16 16:55:40 BST 2012,Thu Dec 14 08:25:25 GMT 2023,Java,4708,479,https://github.com/greenrobot/EventBus
24382,signalapp,Signal-Android,Thu Dec 15 20:01:12 GMT 2011,Thu Dec 14 11:44:12 GMT 2023,Java,5980,10197,https://github.com/signalapp/Signal-Android
23706,Netflix,Hystrix,Mon Nov 19 20:14:46 GMT 2012,Thu Dec 14 11:26:10 GMT 2023,Java,4745,682,https://github.com/Netflix/Hystrix
23107,DrKLO,Telegram,Fri Oct 25 14:08:10 BST 2013,Thu Dec 14 13:34:03 GMT 2023,Java,7782,0,https://github.com/DrKLO/Telegram
22717,apache,skywalking,Sat Nov 07 03:30:36 GMT 2015,Thu Dec 14 08:58:43 GMT 2023,Java,6392,4962,https://github.com/apache/skywalking
22645,google,gson,Thu Mar 19 18:21:20 GMT 2015,Wed Dec 13 21:49:06 GMT 2023,Java,4348,1279,https://github.com/google/gson
22417,apache,flink,Sat Jun 07 07:00:10 BST 2014,Thu Dec 14 10:22:11 GMT 2023,Java,12948,0,https://github.com/apache/flink
22273,libgdx,libgdx,Fri Aug 10 19:34:38 BST 2012,Thu Dec 14 08:36:26 GMT 2023,Java,6528,3453,https://github.com/libgdx/libgdx
22143,redisson,redisson,Sat Jan 11 14:06:25 GMT 2014,Thu Dec 14 10:48:35 GMT 2023,Java,5218,4499,https://github.com/redisson/redisson
21761,jenkinsci,jenkins,Mon Nov 22 21:21:23 GMT 2010,Thu Dec 14 13:04:31 GMT 2023,Java,8421,0,https://github.com/jenkinsci/jenkins
21747,bazelbuild,bazel,Thu Jun 12 16:00:38 BST 2014,Thu Dec 14 11:24:03 GMT 2023,Java,3921,10570,https://github.com/bazelbuild/bazel
21624,alibaba,Sentinel,Wed Apr 04 06:37:33 BST 2018,Thu Dec 14 08:23:20 GMT 2023,Java,7866,1579,https://github.com/alibaba/Sentinel
21201,google,ExoPlayer,Fri Jun 13 21:19:18 BST 2014,Thu Dec 14 10:43:11 GMT 2023,Java,6082,9401,https://github.com/google/ExoPlayer
21064,YunaiV,ruoyi-vue-pro,Sun Jan 24 03:18:25 GMT 2021,Thu Dec 14 13:54:03 GMT 2023,Java,4412,270,https://github.com/YunaiV/ruoyi-vue-pro
20433,elunez,eladmin,Fri Dec 14 08:54:24 GMT 2018,Thu Dec 14 13:23:09 GMT 2023,Java,7240,652,https://github.com/elunez/eladmin
20091,apache,rocketmq,Wed Nov 30 08:00:08 GMT 2016,Thu Dec 14 13:03:31 GMT 2023,Java,11375,3443,https://github.com/apache/rocketmq
19932,EnterpriseQualityCoding,FizzBuzzEnterpriseEdition,Sat Nov 24 00:14:41 GMT 2012,Wed Dec 13 19:04:42 GMT 2023,Java,749,85,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition
19829,ReactiveX,RxAndroid,Tue Aug 19 03:46:38 BST 2014,Thu Dec 14 03:26:36 GMT 2023,Java,3001,349,https://github.com/ReactiveX/RxAndroid
19777,didi,DoKit,Tue Aug 14 10:32:07 BST 2018,Thu Dec 14 10:54:44 GMT 2023,Java,3083,485,https://github.com/didi/DoKit
19691,Anuken,Mindustry,Sun Apr 30 01:24:29 BST 2017,Thu Dec 14 13:26:30 GMT 2023,Java,2719,4080,https://github.com/Anuken/Mindustry
