Stargazers,Owner,Repo Name,Created At,Last Updated At,Primary Language,Forks,Issue Count,URL
216221,facebook,react,Fri May 24 16:15:54 BST 2013,Thu Dec 14 13:58:16 GMT 2023,JavaScript,45628,11441,https://github.com/facebook/react
178486,trekhleb,javascript-algorithms,Sat Mar 24 07:47:04 GMT 2018,Thu Dec 14 14:02:25 GMT 2023,JavaScript,29472,216,https://github.com/trekhleb/javascript-algorithms
166187,twbs,bootstrap,Fri Jul 29 21:19:00 BST 2011,Thu Dec 14 13:29:29 GMT 2023,JavaScript,79093,21841,https://github.com/twbs/bootstrap
154846,Significant-Gravitas,AutoGPT,Thu Mar 16 09:21:07 GMT 2023,Thu Dec 14 14:09:25 GMT 2023,JavaScript,38140,1971,https://github.com/Significant-Gravitas/AutoGPT
139631,airbnb,javascript,Thu Nov 01 23:13:50 GMT 2012,Thu Dec 14 14:09:01 GMT 2023,JavaScript,26531,1185,https://github.com/airbnb/javascript
116878,Chalarangelo,30-seconds-of-code,Wed Nov 29 17:35:03 GMT 2017,Thu Dec 14 13:58:28 GMT 2023,JavaScript,12070,294,https://github.com/Chalarangelo/30-seconds-of-code
115636,vercel,next.js,Wed Oct 05 23:32:51 BST 2016,Thu Dec 14 13:22:35 GMT 2023,JavaScript,25357,16412,https://github.com/vercel/next.js
102761,axios,axios,Mon Aug 18 22:30:27 BST 2014,Thu Dec 14 13:29:21 GMT 2023,JavaScript,10837,3950,https://github.com/axios/axios
101239,facebook,create-react-app,Sun Jul 17 14:55:11 BST 2016,Thu Dec 14 13:22:37 GMT 2023,JavaScript,26869,6521,https://github.com/facebook/create-react-app
100661,nodejs,node,Wed Nov 26 19:57:11 GMT 2014,Thu Dec 14 13:48:31 GMT 2023,JavaScript,27933,15548,https://github.com/nodejs/node
96272,mrdoob,three.js,Tue Mar 23 18:58:01 GMT 2010,Thu Dec 14 13:48:46 GMT 2023,JavaScript,35225,11686,https://github.com/mrdoob/three.js
87232,ryanmcdermott,clean-code-javascript,Fri Nov 25 22:25:41 GMT 2016,Thu Dec 14 12:09:13 GMT 2023,JavaScript,11908,81,https://github.com/ryanmcdermott/clean-code-javascript
78644,microsoft,Web-Dev-For-Beginners,Tue Nov 10 02:44:00 GMT 2020,Thu Dec 14 13:30:30 GMT 2023,JavaScript,12133,235,https://github.com/microsoft/Web-Dev-For-Beginners
74350,sveltejs,svelte,Sun Nov 20 18:13:05 GMT 2016,Thu Dec 14 13:17:33 GMT 2023,JavaScript,4180,4742,https://github.com/sveltejs/svelte
72722,iptv-org,iptv,Wed Nov 14 22:00:57 GMT 2018,Thu Dec 14 13:56:41 GMT 2023,JavaScript,1223,6957,https://github.com/iptv-org/iptv
72528,FortAwesome,Font-Awesome,Fri Feb 17 14:19:43 GMT 2012,Thu Dec 14 13:28:22 GMT 2023,JavaScript,12475,13736,https://github.com/FortAwesome/Font-Awesome
69609,typicode,json-server,Wed Nov 27 13:21:13 GMT 2013,Thu Dec 14 14:01:40 GMT 2023,JavaScript,6900,491,https://github.com/typicode/json-server
66127,hakimel,reveal.js,Tue Jun 07 18:54:22 BST 2011,Thu Dec 14 10:41:24 GMT 2023,JavaScript,16901,1632,https://github.com/hakimel/reveal.js
65759,jaywcjlove,awesome-mac,Sun Jul 17 15:33:47 BST 2016,Thu Dec 14 13:31:37 GMT 2023,JavaScript,6029,288,https://github.com/jaywcjlove/awesome-mac
63768,webpack,webpack,Sat Mar 10 10:08:14 GMT 2012,Thu Dec 14 13:56:07 GMT 2023,JavaScript,8911,9527,https://github.com/webpack/webpack
63598,mermaid-js,mermaid,Sat Nov 01 23:52:32 GMT 2014,Thu Dec 14 14:10:55 GMT 2023,JavaScript,5512,1836,https://github.com/mermaid-js/mermaid
62535,chartjs,Chart.js,Sun Mar 17 23:56:36 GMT 2013,Thu Dec 14 13:23:59 GMT 2023,JavaScript,12018,6678,https://github.com/chartjs/Chart.js
61638,anuraghazra,github-readme-stats,Thu Jul 09 10:34:22 BST 2020,Thu Dec 14 13:40:24 GMT 2023,JavaScript,19523,1039,https://github.com/anuraghazra/github-readme-stats
60978,resume,resume.github.com,Sun Feb 06 13:39:55 GMT 2011,Thu Dec 14 13:53:33 GMT 2023,JavaScript,1420,59,https://github.com/resume/resume.github.com
60043,leonardomso,33-js-concepts,Tue Sep 04 13:27:04 BST 2018,Thu Dec 14 11:53:45 GMT 2023,JavaScript,8590,63,https://github.com/leonardomso/33-js-concepts
59746,atom,atom,Fri Jan 20 18:18:21 GMT 2012,Thu Dec 14 13:59:56 GMT 2023,JavaScript,18374,16153,https://github.com/atom/atom
59281,adam-p,markdown-here,Sun May 13 03:27:22 BST 2012,Thu Dec 14 10:35:19 GMT 2023,JavaScript,11430,308,https://github.com/adam-p/markdown-here
59009,angular,angular.js,Wed Jan 06 00:34:37 GMT 2010,Thu Dec 14 10:41:58 GMT 2023,JavaScript,28127,8648,https://github.com/angular/angular.js
58061,lodash,lodash,Sat Apr 07 04:11:46 BST 2012,Thu Dec 14 08:49:26 GMT 2023,JavaScript,7148,4174,https://github.com/lodash/lodash
55532,h5bp,html5-boilerplate,Sun Jan 24 18:03:24 GMT 2010,Thu Dec 14 14:02:49 GMT 2023,JavaScript,12496,1319,https://github.com/h5bp/html5-boilerplate
54861,gatsbyjs,gatsby,Thu May 21 22:43:05 BST 2015,Thu Dec 14 13:43:00 GMT 2023,JavaScript,10588,13850,https://github.com/gatsbyjs/gatsby
52986,azl397985856,leetcode,Fri Mar 30 09:13:51 BST 2018,Thu Dec 14 13:55:46 GMT 2023,JavaScript,9459,243,https://github.com/azl397985856/leetcode
52148,scutan90,DeepLearning-500-questions,Wed Jun 27 06:36:45 BST 2018,Thu Dec 14 09:35:30 GMT 2023,JavaScript,15758,80,https://github.com/scutan90/DeepLearning-500-questions
50877,Semantic-Org,Semantic-UI,Mon Apr 08 23:32:04 BST 2013,Thu Dec 14 10:19:28 GMT 2023,JavaScript,5092,5255,https://github.com/Semantic-Org/Semantic-UI
47723,juliangarnier,anime,Sun Mar 13 21:37:45 GMT 2016,Thu Dec 14 13:49:04 GMT 2023,JavaScript,3761,501,https://github.com/juliangarnier/anime
47613,moment,moment,Tue Mar 01 02:46:06 GMT 2011,Thu Dec 14 13:30:33 GMT 2023,JavaScript,7218,3846,https://github.com/moment/moment
47437,prettier,prettier,Tue Nov 29 17:13:37 GMT 2016,Thu Dec 14 13:25:35 GMT 2023,JavaScript,4166,5302,https://github.com/prettier/prettier
46957,NARKOZ,hacker-scripts,Sat Nov 21 19:05:09 GMT 2015,Thu Dec 14 11:26:54 GMT 2023,JavaScript,6761,39,https://github.com/NARKOZ/hacker-scripts
45490,algorithm-visualizer,algorithm-visualizer,Sun May 15 00:27:45 BST 2016,Thu Dec 14 10:50:50 GMT 2023,JavaScript,7291,74,https://github.com/algorithm-visualizer/algorithm-visualizer
45487,chinese-poetry,chinese-poetry,Fri Sep 02 03:32:25 BST 2016,Thu Dec 14 13:54:53 GMT 2023,JavaScript,9230,84,https://github.com/chinese-poetry/chinese-poetry
45425,serverless,serverless,Tue Apr 21 03:48:40 BST 2015,Thu Dec 14 11:12:07 GMT 2023,JavaScript,5765,5041,https://github.com/serverless/serverless
45333,cypress-io,cypress,Wed Mar 04 00:46:28 GMT 2015,Thu Dec 14 07:59:36 GMT 2023,JavaScript,3083,12167,https://github.com/cypress-io/cypress
44884,iamkun,dayjs,Tue Apr 10 09:26:44 BST 2018,Thu Dec 14 14:01:35 GMT 2023,JavaScript,2254,800,https://github.com/iamkun/dayjs
44727,mozilla,pdf.js,Tue Apr 26 06:32:03 BST 2011,Thu Dec 14 12:04:48 GMT 2023,JavaScript,9701,9002,https://github.com/mozilla/pdf.js
44624,TryGhost,Ghost,Sat May 04 11:09:13 BST 2013,Thu Dec 14 12:56:11 GMT 2023,JavaScript,9974,6732,https://github.com/TryGhost/Ghost
44323,jgraph,drawio-desktop,Thu May 25 20:58:42 BST 2017,Thu Dec 14 14:14:07 GMT 2023,JavaScript,4625,1079,https://github.com/jgraph/drawio-desktop
43983,iamadamdev,bypass-paywalls-chrome,Sat Apr 07 20:33:19 BST 2018,Thu Dec 14 11:55:48 GMT 2023,JavaScript,3204,998,https://github.com/iamadamdev/bypass-paywalls-chrome
43871,meteor,meteor,Thu Jan 19 01:58:17 GMT 2012,Thu Dec 14 09:40:18 GMT 2023,JavaScript,5415,8746,https://github.com/meteor/meteor
43082,typescript-cheatsheets,react,Sat Jun 02 04:08:16 BST 2018,Thu Dec 14 13:44:32 GMT 2023,JavaScript,4004,196,https://github.com/typescript-cheatsheets/react
42840,parcel-bundler,parcel,Mon Aug 07 16:36:47 BST 2017,Thu Dec 14 12:33:31 GMT 2023,JavaScript,2327,4559,https://github.com/parcel-bundler/parcel
42742,marktext,marktext,Sun Nov 12 16:05:25 GMT 2017,Thu Dec 14 10:33:57 GMT 2023,JavaScript,3255,1611,https://github.com/marktext/marktext
42734,louislam,uptime-kuma,Sat Jul 03 01:02:42 BST 2021,Thu Dec 14 14:13:44 GMT 2023,JavaScript,3856,2261,https://github.com/louislam/uptime-kuma
41330,agalwood,Motrix,Tue Dec 18 11:45:05 GMT 2018,Thu Dec 14 13:51:38 GMT 2023,JavaScript,4364,562,https://github.com/agalwood/Motrix
41271,yarnpkg,yarn,Tue Jan 19 17:39:16 GMT 2016,Thu Dec 14 07:06:41 GMT 2023,JavaScript,2919,4682,https://github.com/yarnpkg/yarn
40707,gorhill,uBlock,Wed Apr 01 17:51:11 BST 2015,Thu Dec 14 13:58:03 GMT 2023,JavaScript,2978,3438,https://github.com/gorhill/uBlock
40048,Unitech,pm2,Tue May 21 03:25:25 BST 2013,Thu Dec 14 12:21:20 GMT 2023,JavaScript,2593,4019,https://github.com/Unitech/pm2
39938,nwjs,nw.js,Wed Jan 04 06:21:10 GMT 2012,Thu Dec 14 07:07:17 GMT 2023,JavaScript,3974,6369,https://github.com/nwjs/nw.js
39610,Asabeneh,30-Days-Of-JavaScript,Mon Dec 23 14:07:40 GMT 2019,Thu Dec 14 13:53:35 GMT 2023,JavaScript,9406,55,https://github.com/Asabeneh/30-Days-Of-JavaScript
39404,poteto,hiring-without-whiteboards,Wed Mar 15 05:09:01 GMT 2017,Thu Dec 14 13:56:03 GMT 2023,JavaScript,3298,0,https://github.com/poteto/hiring-without-whiteboards
39221,google,zx,Wed May 05 05:50:01 BST 2021,Thu Dec 14 13:09:15 GMT 2023,JavaScript,1020,315,https://github.com/google/zx
39176,GitSquared,edex-ui,Sat Jan 28 09:35:02 GMT 2017,Thu Dec 14 10:24:12 GMT 2023,JavaScript,2465,553,https://github.com/GitSquared/edex-ui
39043,Leaflet,Leaflet,Wed Sep 22 16:57:44 BST 2010,Thu Dec 14 13:10:17 GMT 2023,JavaScript,5822,4718,https://github.com/Leaflet/Leaflet
38911,dcloudio,uni-app,Thu Jul 12 08:52:39 BST 2018,Thu Dec 14 13:13:44 GMT 2023,JavaScript,3588,2934,https://github.com/dcloudio/uni-app
38843,Dogfalo,materialize,Fri Sep 12 19:35:38 BST 2014,Wed Dec 13 18:13:21 GMT 2023,JavaScript,4826,4597,https://github.com/Dogfalo/materialize
37793,hexojs,hexo,Sun Sep 23 15:17:08 BST 2012,Thu Dec 14 10:08:18 GMT 2023,JavaScript,4711,3814,https://github.com/hexojs/hexo
