Stargazers,Owner,Repo Name,Created At,Last Updated At,Primary Language,Forks,Issue Count,URL
6646,go-xorm,xorm,Thu May 09 02:35:04 BST 2013,Tue Dec 12 09:05:54 GMT 2023,Go,770,701,https://github.com/go-xorm/xorm
5333,ViewDeck,ViewDeck,Mon Dec 05 09:29:15 GMT 2011,Sat Nov 11 10:36:21 GMT 2023,Objective-C,980,434,https://github.com/ViewDeck/ViewDeck
3283,FontCustom,fontcustom,Mon Oct 08 02:14:42 BST 2012,Thu Oct 26 20:44:02 BST 2023,Ruby,424,183,https://github.com/FontCustom/fontcustom
3171,apigy,selfstarter,Thu Oct 11 17:42:56 BST 2012,Sat Oct 07 16:16:08 BST 2023,Ruby,1665,28,https://github.com/apigy/selfstarter
3127,Olical,EventEmitter,Wed Apr 13 12:59:23 BST 2011,Fri Nov 10 02:42:35 GMT 2023,JavaScript,443,90,https://github.com/Olical/EventEmitter
3054,TumblrArchive,TMCache,Fri Dec 21 16:19:15 GMT 2012,Tue Oct 10 09:46:55 BST 2023,Objective-C,386,45,https://github.com/TumblrArchive/TMCache
3030,gotosleep,JASidePanels,Fri Mar 16 06:10:45 GMT 2012,Wed Oct 25 02:41:04 BST 2023,Objective-C,615,0,https://github.com/gotosleep/JASidePanels
3024,jgilfelt,android-viewbadger,Tue Sep 27 22:50:57 BST 2011,Fri Nov 03 06:14:18 GMT 2023,Java,1039,0,https://github.com/jgilfelt/android-viewbadger
2975,alikaragoz,MCSwipeTableViewCell,Sat Mar 02 16:58:43 GMT 2013,Tue Nov 07 12:35:54 GMT 2023,Objective-C,416,48,https://github.com/alikaragoz/MCSwipeTableViewCell
2970,fex-team,fis,Sun Sep 15 16:48:09 BST 2013,Fri Nov 10 07:13:44 GMT 2023,PHP,669,539,https://github.com/fex-team/fis
2963,facebookarchive,conceal,Sat Jan 25 06:22:49 GMT 2014,Fri Oct 20 10:55:32 BST 2023,C++,446,107,https://github.com/facebookarchive/conceal
2958,carrot,share-button,Wed Jun 05 21:37:45 BST 2013,Mon Sep 25 15:54:45 BST 2023,JavaScript,395,172,https://github.com/carrot/share-button
2936,nicklockwood,FXForms,Tue Mar 04 15:12:08 GMT 2014,Thu Nov 02 05:08:17 GMT 2023,Objective-C,350,165,https://github.com/nicklockwood/FXForms
2935,boctor,idev-recipes,Fri Dec 03 06:41:33 GMT 2010,Fri Nov 10 05:08:29 GMT 2023,Objective-C,930,4,https://github.com/boctor/idev-recipes
2834,zhxnlai,ZLSwipeableView,Sun Nov 02 01:46:10 GMT 2014,Mon Nov 06 06:48:05 GMT 2023,Objective-C,339,29,https://github.com/zhxnlai/ZLSwipeableView
2833,theonion,fartscroll.js,Tue Apr 16 15:23:11 BST 2013,Fri Nov 03 17:10:18 GMT 2023,,244,7,https://github.com/theonion/fartscroll.js
2830,donglua,PhotoPicker,Thu Jun 25 16:53:50 BST 2015,Wed Nov 08 11:05:15 GMT 2023,Java,695,106,https://github.com/donglua/PhotoPicker
2812,airbnb,infinity,Wed Aug 08 18:54:33 BST 2012,Fri Nov 10 03:18:09 GMT 2023,JavaScript,305,14,https://github.com/airbnb/infinity
2789,JoelBesada,scrollpath,Sat Feb 04 17:39:12 GMT 2012,Sat Oct 28 06:12:59 BST 2023,JavaScript,466,10,https://github.com/JoelBesada/scrollpath
2718,seatgeek,react-infinite,Wed Oct 15 16:26:11 BST 2014,Sat Nov 11 04:55:42 GMT 2023,JavaScript,296,113,https://github.com/seatgeek/react-infinite
2687,jasny,bootstrap,Tue Nov 15 18:57:27 GMT 2011,Tue Nov 07 12:34:39 GMT 2023,JavaScript,516,426,https://github.com/jasny/bootstrap
2676,jfeinstein10,JazzyViewPager,Fri Feb 01 04:57:42 GMT 2013,Fri Nov 03 06:14:23 GMT 2023,Java,827,10,https://github.com/jfeinstein10/JazzyViewPager
2673,redux-utilities,redux-promise,Thu Jul 02 02:01:07 BST 2015,Sun Oct 01 10:47:15 BST 2023,JavaScript,134,12,https://github.com/redux-utilities/redux-promise
2669,Boris-Em,BEMSimpleLineGraph,Thu Jan 02 19:45:11 GMT 2014,Thu Oct 26 14:19:10 BST 2023,Objective-C,391,137,https://github.com/Boris-Em/BEMSimpleLineGraph
2651,Todd-Davies,ProgressWheel,Sat Feb 04 18:13:30 GMT 2012,Fri Nov 03 16:35:00 GMT 2023,Java,724,33,https://github.com/Todd-Davies/ProgressWheel
2636,Malinskiy,SuperRecyclerView,Thu Dec 11 03:20:17 GMT 2014,Tue Oct 24 18:01:13 BST 2023,Java,476,35,https://github.com/Malinskiy/SuperRecyclerView
2607,urish,angular-moment,Mon May 27 09:45:13 BST 2013,Tue Oct 31 08:01:00 GMT 2023,JavaScript,402,168,https://github.com/urish/angular-moment
